backbone,backbone_key,embedding_dim,protocol,fold,component_id,test_years,train_n,test_n,RMSE,MAE,R2,NRMSE,sMAPE
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,16,C0016,2025,195,12,374.4347487516644,324.09922458086356,0.17095169235525842,0.2779437845182936,42.57103125243337
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,17,C0017,2025,195,12,364.75195269487534,323.2633333333333,-0.014416570060280076,0.31366798470570434,35.81740696461405
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,17,C0017,2025,195,12,376.11869566364715,338.2219457870371,-0.07862610323003616,0.32344280107979223,37.77528673801222
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,17,C0017,2025,195,12,312.0471117286239,249.56280398289752,0.25755990472301926,0.26834452275306053,28.247100649999396
EfficientNet-B0,efficientnet_b0,1280,Static Image ExtraTrees,18,C0018,2025,198,9,637.9775771409064,575.8817114814813,-0.0007570063559525497,0.3956450090796319,77.66719408623545
EfficientNet-B0,efficientnet_b0,1280,Image Trajectory ExtraTrees,18,C0018,2025,198,9,643.9353399997126,583.8360905626782,-0.019535447868250788,0.39933974573625586,77.0688652401314
EfficientNet-B0,efficientnet_b0,1280,Full CMGT,18,C0018,2025,198,9,467.62368070225017,424.7729809518224,0.4623361948312622,0.2899991818308528,67.94334410366828
ConvNeXt-Tiny,convnext_tiny,768,Static Image ExtraTrees,1,C0001,2023,168,39,382.55308641525244,339.20034225783513,-6.438626934063753,0.5537826960267117,37.43380163641659
ConvNeXt-Tiny,convnext_tiny,768,Image Trajectory ExtraTrees,1,C0001,2023,168,39,245.57705967993977,210.8401932478602,-2.0653844383954736,0.35549661215972755,21.693896232382894
ConvNeXt-Tiny,convnext_tiny,768,Full CMGT,1,C0001,2023,168,39,166.19130149634552,132.92702922942408,-0.40386690430837113,0.24057802764381228,12.699151107421129
