repeat,variant,RMSE,MAE,R2,NRMSE,sMAPE
4,Without Phenotype Trajectory,293.1030247871362,228.98622479912137,0.5233384435298429,0.16049183300870412,35.318818013661456
4,Image Trajectory Only,372.4496609740406,282.4098966127525,0.23032976316327725,0.20393896936616546,40.21747361313338
5,Full CMGT-DINO,294.12871311375744,221.96854891478065,0.3600291755070324,0.191995034539908,35.710040301578545
5,Without Concordance,316.70134926772164,240.59950796916223,0.2580320308517139,0.2067295159584595,37.83485582507802
5,Without Environment Trajectory,293.62502290570194,222.27846757820697,0.36221917611958276,0.19166624644618785,36.2284474825941
5,Without Phenotype Trajectory,311.01122116094126,220.24150085631248,0.2844541836559691,0.20301523614255024,35.823400710345354
5,Image Trajectory Only,354.2535165989568,246.06230363079158,0.07164587805548206,0.2312420145427797,37.64539250457004
6,Full CMGT-DINO,372.83592283196873,261.6496931032154,-0.01753270340597357,0.2562270103992638,38.453731743709625
6,Without Concordance,331.6278782297995,240.81557267513884,0.19496466929773149,0.22790727663377053,35.74840938451133
6,Without Environment Trajectory,365.23068446796765,257.1780062318572,0.02355588895923144,0.2510004016685916,38.17758596481305
6,Without Phenotype Trajectory,365.1595357195731,252.77952135553173,0.023936284213580183,0.2509515055457172,35.11728561134136
6,Image Trajectory Only,339.001865973213,253.1741338270583,0.15876554211083638,0.23297496115264452,35.614628594185525
7,Full CMGT-DINO,392.8263529780325,283.9388554757199,0.06582370875285848,0.25080692927567916,43.30510260963073
7,Without Concordance,392.65713807550856,278.35064163297045,0.06662835183310156,0.2506988910298538,42.34356236158307
7,Without Environment Trajectory,394.99426734936503,283.8060749126479,0.055484267280280664,0.2521910725295228,43.06685563798743
7,Without Phenotype Trajectory,406.7904254302255,303.32869323909193,-0.0017723855044071701,0.25972253818370344,45.99954061133801
7,Image Trajectory Only,407.9281908113857,292.97949177685814,-0.007384001782863248,0.26044896460423667,43.179167369172625
8,Full CMGT-DINO,297.22004388227685,222.92258586080425,0.5222970751513805,0.19213169305106587,38.74602214470904
8,Without Concordance,304.32680799753115,235.06243073221898,0.49917945776812844,0.19672571236330036,40.31592246425599
8,Without Environment Trajectory,292.44613509905906,224.53880603298958,0.5375194372343927,0.18904569937106264,39.171014422288074
8,Without Phenotype Trajectory,287.94772155902507,212.86429318885845,0.5516377857058625,0.18613779384019308,37.00674222180626
8,Image Trajectory Only,336.2382513347398,264.9774374439219,0.38864150786852925,0.21735419877355575,41.83091291313273
9,Full CMGT-DINO,408.39980800850435,303.4027982518725,0.08728525500136586,0.24560379110949002,54.46200764720222
9,Without Concordance,424.6936477114251,316.17394300229796,0.013003668544992464,0.25540259298033796,55.46264932694323
9,Without Environment Trajectory,407.13783653832803,300.8048890764193,0.09291718901084545,0.24484486573472375,54.01490292223496
9,Without Phenotype Trajectory,389.98296871031664,296.24703032145834,0.1677471517657395,0.23452825810680322,53.782749583935484
9,Image Trajectory Only,423.44636135986553,306.7591260593969,0.01879259095665453,0.2546524989535166,52.36808749758525
10,Full CMGT-DINO,335.2992490502037,246.06587803476404,0.16695549280201838,0.24825947656612152,38.99635112813354
10,Without Concordance,307.15786385515605,240.37490900649658,0.30092089618159334,0.227423266589039,38.920888935137775
10,Without Environment Trajectory,335.2198836463892,246.80325596430265,0.1673498097543491,0.24820071349503126,39.079812126748195
10,Without Phenotype Trajectory,346.7895962477456,250.62702298016666,0.1088821075983969,0.2567670637107549,39.11331273499153
10,Image Trajectory Only,320.62423659432875,245.9514543596816,0.23827933056215211,0.2373939261027164,38.79846128295499
11,Full CMGT-DINO,373.30929554061356,274.2281681919064,0.34729014092105637,0.2263715332851941,43.12091719773346
11,Without Concordance,385.87031811050684,291.3887751802643,0.302626708309492,0.23398842890698374,45.633986067437874
11,Without Environment Trajectory,371.6810335022831,272.1616217714733,0.3529715687891479,0.22538416924521446,42.87119625731293
11,Without Phenotype Trajectory,362.79154446846985,257.93253078259573,0.38355139047425924,0.21999365985596378,41.426423747163376
11,Image Trajectory Only,389.1148125578925,305.86569895656964,0.2908500257289248,0.23595586232362653,45.80713077204126
12,Full CMGT-DINO,353.15978969024917,271.86681319767285,0.39147565027521103,0.17439989614333293,41.71267812723082
12,Without Concordance,371.4466710246964,292.67806988069634,0.32682434305076946,0.18343045482701056,43.57611405234406
12,Without Environment Trajectory,368.6862560869165,288.41362872429676,0.33679260762510355,0.18206728695650198,43.61063718676917
12,Without Phenotype Trajectory,378.94471927081077,284.3205101872709,0.29937249825086887,0.18713319470163495,42.164343555392996
12,Image Trajectory Only,388.19021052385017,295.11081342512307,0.26476762906980034,0.1916988693944939,43.14461717173851
13,Full CMGT-DINO,299.03589056010844,223.13921734580296,0.43158747325910085,0.1909247505571323,37.45294900503544
13,Without Concordance,261.76370847694466,198.74704288104545,0.5644521460043717,0.16712766702438606,35.368060089714504
13,Without Environment Trajectory,296.7960953545659,218.63657580977656,0.44007046673424466,0.18949471371400856,36.90235830178307
